Id,ContractName,EnteredAt,ExitedAt,EntryPrice,ExitPrice,Fees,PnL,Size,Type,TradeDay,TradeDuration
818900076,MNQM5,04/15/2025 12:48:06 +02:00,04/15/2025 12:48:22 +02:00,18950.750000000,18955.500000000,11.10000,-142.500000000,15,Short,04/15/2025 00:00:00 -05:00,00:00:16.0717090
818903159,MNQM5,04/15/2025 12:49:12 +02:00,04/15/2025 12:49:51 +02:00,18964.250000000,18964.000000000,11.10000,-7.500000000,15,Long,04/15/2025 00:00:00 -05:00,00:00:39.2152480
818905596,MNQM5,04/15/2025 12:49:58 +02:00,04/15/2025 12:51:12 +02:00,18961.750000000,18963.750000000,3.70000,-20.000000000,5,Short,04/15/2025 00:00:00 -05:00,00:01:14.2229450
818905822,MNQM5,04/15/2025 12:49:58 +02:00,04/15/2025 12:51:20 +02:00,18961.750000000,18967.250000000,3.70000,-55.000000000,5,Short,04/15/2025 00:00:00 -05:00,00:01:22.1539940
818905610,MNQM5,04/15/2025 12:49:58 +02:00,04/15/2025 12:51:12 +02:00,18961.750000000,18963.750000000,3.70000,-20.000000000,5,Short,04/15/2025 00:00:00 -05:00,00:01:14.4258800
818909397,MNQM5,04/15/2025 12:51:20 +02:00,04/15/2025 12:52:57 +02:00,18967.250000000,18974.250000000,3.70000,70.000000000,5,Long,04/15/2025 00:00:00 -05:00,00:01:36.9954980
818909398,MNQM5,04/15/2025 12:51:29 +02:00,04/15/2025 12:52:57 +02:00,18968.500000000,18974.250000000,3.70000,57.500000000,5,Long,04/15/2025 00:00:00 -05:00,00:01:28.3075600
818909399,MNQM5,04/15/2025 12:51:29 +02:00,04/15/2025 12:52:57 +02:00,18967.500000000,18974.250000000,3.70000,67.500000000,5,Long,04/15/2025 00:00:00 -05:00,00:01:27.7922730
818909400,MNQM5,04/15/2025 12:51:40 +02:00,04/15/2025 12:52:57 +02:00,18968.500000000,18974.250000000,3.70000,57.500000000,5,Long,04/15/2025 00:00:00 -05:00,00:01:17.4620250
818910480,MNQM5,04/15/2025 12:53:02 +02:00,04/15/2025 12:53:28 +02:00,18973.750000000,18977.750000000,3.70000,-40.000000000,5,Short,04/15/2025 00:00:00 -05:00,00:00:25.6209130
818910481,MNQM5,04/15/2025 12:53:02 +02:00,04/15/2025 12:53:28 +02:00,18974.000000000,18977.750000000,3.70000,-37.500000000,5,Short,04/15/2025 00:00:00 -05:00,00:00:25.4348150
818910906,MNQM5,04/15/2025 12:53:32 +02:00,04/15/2025 12:53:35 +02:00,18977.250000000,18973.750000000,3.70000,-35.000000000,5,Long,04/15/2025 00:00:00 -05:00,00:00:03.3796980
818910907,MNQM5,04/15/2025 12:53:32 +02:00,04/15/2025 12:53:35 +02:00,18977.500000000,18973.750000000,3.70000,-37.500000000,5,Long,04/15/2025 00:00:00 -05:00,00:00:03.1949930
818918034,MNQM5,04/15/2025 12:54:08 +02:00,04/15/2025 12:59:08 +02:00,18972.500000000,18976.750000000,3.70000,-42.500000000,5,Short,04/15/2025 00:00:00 -05:00,00:04:59.9002750
818918035,MNQM5,04/15/2025 12:54:09 +02:00,04/15/2025 12:59:08 +02:00,18972.500000000,18976.750000000,3.70000,-42.500000000,5,Short,04/15/2025 00:00:00 -05:00,00:04:59.7641910
818918037,MNQM5,04/15/2025 12:54:11 +02:00,04/15/2025 12:59:08 +02:00,18972.250000000,18976.750000000,3.70000,-45.000000000,5,Short,04/15/2025 00:00:00 -05:00,00:04:57.7199980
